INDEX,DCOP,VENDOR_LOT,DATE_TIME,Device,PART_NO,VENDOR_CODE,APPHA_TEST,B_POD_2,B_POD_3,B_VIA_L12,B_VIA_L23,B_VIA_L34,B1C_WIDTH,BUMP_OP_D,C_BX1,C_BY1,C4_COPLAN,C4_HEIGHT,C4_VOID,CU_L1,CU_L2,CU_L3,CU_L4,CU_ROUGHNE,CZ_EA_1,D_PX1,D_PY1,HD_DIAMETE,HOL_SHIFT,HP_HOLE,INS_L12,INS_L23,INS_L34,L_LENGTH,L_T_L_REG,M_BALL_POD,M1_T_S,OS_BUMP,OSP_T,P1C_TRACE,PIN_HOLE_S,POP_P_POD,PX_UNIT,PY_UNIT,R_SHIFT,RD,S_WARPAGE,S1_TRACE,SM_B_SHT_X,SM_B_SHT_Y,SM_B_THICK,SM_T_SHT_X,SM_T_SHT_Y,SM_T_THICK,SMCR_MTK_A,SMCR_MTK_E,SMEAR_RSD,SR_M_DAM_H,SR_M_DAM_S,SR_M_DAM_W,SR_U_CU,T_S_THICK,T_VIA_L12,T_VIA_L23,T_VIA_L34,T1_WIDTH,TO_YIEL,VIA_VOID,VOID_CU_P,VOID_CU_W,W_WIDTH,IsolationForest predur
29,V_MTK_MFC1,Q52215030701,20220629,23D,1227199102,ZDT,0.002,0.0085,0.0005,-2.1,0.02,-1.72,0.41,-2.82,-0.003,0.001,2.888,0.682,0.26,-0.48,0.8,-1.12,0.1,-0.071,0.067,-0.001,0,0,0.006,-0.03,-0.65,-0.5,-1.84,0.062,50.14,0.005,1.64,-2.525,-0.02,0.35,0.068,-0.0015,-0.001,-0.005,5.1,0.37,-0.05,0.44,16.39,17.22,-1.98,10.7,8.94,0.76,2.54,1.79,22.5,-0.54,-0.011,0.003,9,0.0095,3.4,5.52,1.68,0.23,-13.34,9,14.18,42.76,0.002,1
39,V_MTK_MFC1,Q52230030901,20220901,23D,1227199102,ZDT,0.002,0.0055,0.0015,-3.74,-3.72,-9.08,-0.09,-2.06,-0.002,-0.003,-4.61,2.792,-0.72,-1.54,0.68,0.3,-0.58,-0.075,0.057,-0.002,0.001,0.008,-0.01,-0.045,-0.03,0.42,0.12,0.032,51.56,0.001,2.16,-0.555,-0.02,0.23,0.068,-0.0045,-0.003,-0.008,4.92,0.47,1.162,0.96,15.37,17.22,-1.98,8.73,9.42,-2.76,-8.25,6.3,22.5,-0.88,-0.009,0.007,6.38,0.0025,0.42,2.4,6.26,0.09,-10.78,9,14.8,38.92,0.002,1
36,V_MTK_MFC1,Q52230030601,20220906,23D,1227199102,ZDT,0.002,0.0095,0.0025,-5.018,-3.118,-10.806,-0.33,-1.22,-0.001,-0.003,-4.382,3.206,-0.58,-1.938,0.19,0.476,0.002,-0.073,0.077,-0.001,0.001,0.019,-0.009,-0.053,0.74,-0.084,-1.026,0.014,56.596,0.001,2.242,-0.205,-0.013,0.65,0.068,0.0015,-0.003,-0.009,5.02,0.526,0.54,1.042,16.01,16.31,-1.668,8.38,9.29,-2.86,-2.18,-4.83,22.5,-0.87,-0.006,0.002,8.388,0.0075,-1.068,-0.522,7.456,0.172,-7.32,9,15.57,37.432,0.008,1
43,V_MTK_MFC1,Q52231002601,20220906,23D,1227199102,ZDT,0.002,-0.0015,0.0065,-3.086,-3.086,-10.466,-0.76,1.536,-0.004,0.001,-4.674,2.462,-0.14,-1.892,0,0.466,-0.822,-0.069,0.067,-0.003,0,0.018,-0.004,-0.048,-1.438,-1.422,-2.068,0.015,55.304,0.01,1.284,-0.504,-0.036,0.79,0.068,-0.0005,-0.002,-0.009,5.02,0.532,1.078,-0.106,16.857,15.809,-2.382,8.679,8.298,-1.72,-3.66,-0.77,22.5,0.094,-0.01,0.011,7.426,0.0045,0.594,0.312,9.752,0.222,-9.42,9,13.392,39.094,0.012,1
34,V_MTK_MFC1,Q52230030401,20220911,23D,1227199102,ZDT,0.002,0.0045,0.0055,-5.48,-2.48,-10.72,0.522,3.412,-0.002,0,-5.532,1.614,0.78,-0.03,0.2,0.66,1.128,-0.067,0.077,-0.001,-0.001,0.015,0.025,-0.02,-1.162,-1.704,-1.6,0.012,48.588,0.003,2.088,-0.585,-0.014,1.37,0.068,0.0015,-1.78E-15,-0.003,4.88,0.412,1.36,0.888,13.501,16.181,-2.05,8.76,9.622,-2.094,-4.27,6.07,22.5,-1.048,-0.001,0.003,7.928,0.0075,0.28,2.44,7.38,0.056,-10.56,9,13.668,38.78,0.054,1
35,V_MTK_MFC1,Q52230030501,20220911,23D,1227199102,ZDT,0.002,-0.0025,0.0055,-4.114,-4.298,-0.842,-0.312,0.094,-0.002,-0.001,-4.188,2.308,-0.08,-1.516,-0.186,-0.558,-1.29,-0.079,0.067,0.001,0.001,0.008,-0.009,-0.05,-2.186,-1.7,-2.16,0.029,53.168,0.009,1.246,-1.36,-0.019,0.078,0.068,0.0015,-0.004,-0.008,4.18,0.534,0.336,0.046,16.19,16.381,-1.732,9.535,9.63,-2.936,-7.89,2.73,22.5,-0.592,-0.005,0.006,7.952,0.0055,-0.528,-1.558,0.406,-0.144,-9.44,9,12.644,37.972,0.02,1
40,V_MTK_MFC1,Q52231002301,20220911,23D,1227199102,ZDT,0.002,-0.0035,0.0065,-1.402,-0.934,-7.946,-0.722,-1.528,-0.003,0.001,-5.186,1.848,3.4,0.116,1.884,-0.104,1.82,-0.081,0.077,-0.001,0.002,0,0,-0.047,-2.372,-2.356,-2.346,0.05,54.294,0.008,1.694,-2.028,-0.037,0.604,0.068,-0.0035,-0.006,-0.009,4.8,-0.252,1.044,0.494,15.429,15.428,-3.598,10.203,10.393,-2.746,-4.87,6.31,22.5,-0.554,-0.008,0.007,8.064,0.0045,4.612,3.208,7.04,0.156,-11.11,9,12.458,43.112,0.003,1
44,V_MTK_MFC1,Q52231002801,20220916,23D,1227199102,ZDT,0.002,0.0005,0.0095,-2.952,-2.382,-3.522,0.598,3.328,-0.002,-0.001,-4.998,1.442,1.74,1.306,2.186,1.578,1.662,-0.079,0.067,-0.001,0.002,0.025,0.028,-0.018,-1.07,-1.416,-2.076,0.007,52.248,0.006,2.204,-1.066,-0.036,0.414,0.068,0.0025,-1.78E-15,-0.002,4.18,0.64,1.258,1.004,13.691,16.181,-1.382,9.241,7.994,-2.192,-2,6.47,22.5,-1.522,-0.011,0.004,8.008,0.0085,-1.118,3.74,16.88,0.362,-8.53,9,13.76,37.382,0.055,1
37,V_MTK_MFC1,Q52230030701,20220917,23D,1227199102,ZDT,0.002,0.0115,-0.0085,-2.762,-2.096,-7.238,0.29,-0.886,-0.006,0,-4.404,2.442,-0.3,-1.032,0.882,-1.2,-0.658,-0.065,0.057,-0.002,0,-0.001,-0.008,-0.043,0.836,-0.466,-0.55,0.032,55.148,0.009,0.942,-0.779,-0.017,0.222,0.068,-0.0025,0.001,-0.006,5.2,-0.7,0.656,-0.258,16.468,16.372,-1.096,8.954,10.197,-1.236,-2.3,6.49,22.5,-0.856,-0.006,0.006,8.886,0.0125,-1.022,1.356,9.452,0.248,-10.88,9,15.666,37.478,0.024,1
42,V_MTK_MFC1,Q52231002501,20220917,23D,1227199102,ZDT,0.002,-0.0015,0.0055,-4.392,-0.562,-7.104,-1.134,-1.026,-0.004,0,-4.608,1.616,0.02,-1.238,0.188,-0.654,-0.448,-0.061,0.077,-0.005,0.003,0.002,-0.001,-0.051,-0.97,-1.7,-1.04,0.015,55.13,0.009,1.132,-0.505,-0.017,0.83,0.068,0.0005,-0.004,-0.011,5.18,0.084,-0.156,-0.068,16.761,16.477,-1.728,8.68,10.488,-3.216,-1.64,5.58,22.5,-0.18,-0.009,0.005,8.626,0.0015,0.126,0.408,8.07,0.044,-17.34,9,13.86,38.626,-0.011,1
38,V_MTK_MFC1,Q52230030801,20220918,23D,1227199102,ZDT,0.002,-0.0035,0.0045,-6.354,-3.176,-10.746,-0.536,-0.538,-0.004,-0.004,-5.194,2.314,1.34,-0.674,0.654,0.094,-0.448,-0.043,0.077,-0.002,0.001,-0.005,-0.004,-0.045,-1.25,-1.234,-1.598,0.074,56.538,0.009,1.172,-1.266,-0.039,0.642,0.068,0.0025,-0.003,-0.007,4.8,0.046,0.302,-0.028,15.905,16.858,-2.01,9.441,8.582,-2.748,-7.15,-2.48,22.5,-0.89,-0.003,0.005,8.214,0.0045,-0.994,0.126,6.202,-0.068,-9.98,9,13.58,37.506,0.03,1
41,V_MTK_MFC1,Q52231002401,20220918,23D,1227199102,ZDT,0.002,0.0035,0.0025,-3.628,-0.26,-8.724,0.01,-1.06,-0.002,-0.001,-2.808,2.42,1.74,-2.874,-0.38,-0.38,-1.204,-0.049,0.057,-0.003,0.001,0.004,-0.013,-0.052,-1.012,-0.008,-1.148,0.034,56.672,0.001,2.502,-1.205,-0.018,0.55,0.068,-0.0045,-0.001,-0.007,4.8,0.524,1.032,1.036,15.5,16.31,-2.204,9.38,9.93,-2.668,-7.61,-4.53,22.5,0.292,-0.004,0.006,7.432,0.0075,0.14,0.62,7.45,0.052,-9.23,9,13.818,38.64,0.026,1
47,V_MTK_MFC1,Q52233015001,20220923,23D,1227199102,ZDT,0.002,-0.0015,0.0045,-2.572,-4.574,-10.286,-0.36,-0.89,-0.004,0,-5.102,0.682,1.56,-0.51,0.38,-0.762,0.856,-0.071,0.087,-0.002,0,-0.002,-0.013,-0.063,0.74,-0.37,-1.122,-0.01,53.924,0.009,2.24,-0.683,-0.017,1.332,0.068,0.0015,-0.003,-0.009,4.78,-0.43,-0.218,1.04,16.564,16.66,-3.286,8.858,9.05,-1.81,-8.24,6.47,22.5,-1.06,-0.003,0.006,9,0.0095,-1.212,-2.168,8.116,0.132,-5.21,9,15.57,37.288,-0.02,1
46,V_MTK_MFC1,Q52233014901,20220925,23D,1227199102,ZDT,0.002,-0.0035,0.0055,0.668,-4.096,-8.762,0.216,2.034,-0.003,-0.001,-4.41,2.484,3.28,-0.492,0.738,-1.022,1.628,-0.081,0.117,-0.002,0,0.005,-0.011,-0.057,-0.022,0.202,1.548,0.028,49.074,0.008,1.898,-1.065,-0.05,0.986,0.068,0.0005,-0.002,-0.011,4.84,-0.354,1.09,0.698,16.948,16.181,0.998,9.24,9.142,-3.142,-3.46,6.3,22.5,-1.136,-0.011,0.007,8.506,0.0095,2.118,0.024,8.406,-0.672,-13.3,9,14.808,40.618,0.003,1
48,V_MTK_MFC1,Q52233015101,20220925,23D,1227199102,ZDT,0.002,0.0075,0.0075,-4.298,-2.99,-9.534,-0.456,0.264,0,-0.001,-4.954,1.222,0.72,-1.142,0.374,0,0.018,-0.057,0.087,-0.001,0.003,0.012,-0.018,-0.056,-0.69,-0.952,-0.758,-0.005,54.01,0.001,0.684,0.084,-0.029,0.14,0.068,-0.0025,-0.004,-0.009,5.12,0.422,1.19,-0.516,17.043,17.042,-2.198,8.091,8.857,-2.652,-0.18,6.49,22.5,-0.186,-0.006,0.007,7.726,0.0065,-1.182,-1.182,8.724,0.568,-8.13,9,14.14,37.318,-0.005,1
49,V_MTK_MFC1,Q52233015301,20220927,23D,1227199102,ZDT,0.002,-0.0015,0.0065,-1.522,-1.332,-11.524,-0.36,-1.668,-0.006,0,-4.46,-2.188,2.5,0.442,0.476,-0.19,1.334,-0.095,0.107,-0.001,-0.001,0,-0.011,-0.058,0.074,0.582,0.212,-0.021,51.832,0.009,2.434,-0.491,-0.048,0.716,0.068,-0.0055,-0.003,-0.011,4.34,-0.086,-0.114,1.234,15.799,16.086,-2.714,8.666,8.188,-2.856,-7.61,6.49,22.5,-0.6,-0.002,0.004,9,0.0105,1.834,2.12,7.93,0.21,-5.99,9,14.904,40.334,0.011,1
1,V_MTK_MFC1,A66-FL200002,20221002,23D,1227199101,KIT,,-0.0015,-0.0005,-0.383,1.083,-0.267,-2.3,0.27,0.001,0.003,-10.39,-6.647,7.5,-0.11,0.78,0.24,-0.53,-0.116,-0.123,-0.001,0.001,-0.002,-0.003,-0.017,-1.25,-0.78,-0.12,-0.037,53.5,-0.001,6.178,-0.08,-0.052,1.63,-0.005,0.0005,-0.001,-0.002,5.214,-0.11,-0.03,1.5,15.6,17,0.12,8.33,9.05,-0.5,0.1,6.5,22.5,0.585,-0.01,0.007,7.586,0.001,4.65,4.05,4.633,-0.69,-10.77,9,15.222,43.082,-0.019,1
